dialog,act,emotion
"['I saw an interesting program on TV last night . It was about elderly people . '
 ' And what did the program say ? '
 ' It said that people with a positive attitude tend to live longer and happier . '
 ' I think that many physicians now agree with that idea . '
 ' And the TV program also said that physical exercise helps people deal with stress . '
 ' And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day . ']",[1 2 1 1 1 1],[0 0 0 0 0 0]
"['Is there any chance to further study ? '
 "" Nope . Our company is private-owned and its profit is the biggest issue . We don't think that further study has anything to do with our development and profit-making . ""
 ' Do you have training program or plan for employees ? '
 ' Nope . We just hope our employees will make profit for us . ']",[2 1 2 1],[0 0 0 0]
"['David , I ’ m going to China . '
 ' Really ? How do you get the chance ? '
 ' You know . I took part in the Chinese contest . I was the best and they gave me this reward . I don ’ t have to pay for my trip . '
 ' Congratulations . How lucky you are ! '
 ' Thank you . I ’ m leaving tomorrow morning . '
 ' I ’ m sure you ’ ll enjoy the trip . China is such a beautiful country . '
 ' I ’ m sure I will . ' ' Have a nice journey , Lily . '
 ' Thank you , David . ']",[1 2 1 1 1 1 1 1 1],[4 6 4 4 4 4 4 4 4]
"['Did you see who the suspect was ? '
 ' I got a perfect look at the suspect . '
 ' Would you be able to pick him out of a line-up ? '
 "" That'll be easy . "" ' Please take a careful look at these five men . '
 ' Okay . ' ' Is the suspect in this line ? ' ' I see him . '
 ' Which number is he ? ' ' The suspect is number four . '
 ' Your cooperation is very much appreciated . '
 "" I'm happy to be of assistance . ""]",[2 1 2 1 3 4 2 1 2 1 1 1],[0 0 0 0 0 0 0 0 0 0 4 4]
"['So click here , then up to the top . ' ' Er ... Hum ... Got it . '
 ' Then open that window.Yeah , that one . ' ' Right ! '
 "" And that's it . You're done . ""
 ' I see what you mean . That was pretty easy after all . ']",[3 4 3 4 1 1],[0 0 0 0 0 0]
"['Good morning , Mr Croft . '
 ' Good morning , nurse . I want to see the dentist , please . '
 ' Do you have an appointment ? ' "" No , I don't . "" ' Is it urgent ? '
 "" Yes , it is . It's very urgent . I feel awful . I have a terrible toothache . ""
 ' Can you come at 10 am on Monday , April 24th ? '
 ' I must see the dentist now , nurse . '
 ' The dentist is very busy at the moment . Can you come at 2 PM ? '
 "" That's very late . Can the dentist see me now ? ""
 "" I'm afraid that he can't , Mr Croft . Can't you wait till this afternoon ? ""
 "" I can wait , but my toothache can't ! ""]",[1 3 2 1 2 1 3 4 3 4 3 4],[0 0 0 0 0 0 0 0 0 0 0 1]
"['Will it be all right to visit you this evening ? '
 "" I'm sorry , but I have an appointment this evening.How about tomorrow evening ? ""
 "" It's fine with me . ""]",[2 3 4],[0 0 0]
"['So , what do you think ? How do you like New York ? '
 "" I'm having a great time . I love it . I'm glad we came . ""
 ' Yeah . I really like the stores and the shopping . '
 ' I love the museums , too . ' ' But the traffic is pretty bad . '
 "" Yeah . I hate all this traffic . It's really noisy . ""
 "" Listen , it's almost dinnertime.There are lots of restaurant around here.What do you want to try ? Italian ? Greek ? Japanese ? Thai ? ""
 "" I can't stand making decisions . You choose ! ""
 "" OK . Let's go American . Where's the nearest McDonald's ? ""]",[2 1 1 1 1 1 2 1 2],[0 4 4 4 4 4 4 4 4]
"[""What's the admission charge ? ""
 ' An all-day pass is 30 dollars for adults and 20 for children . '
 ' Two adult passes , please . ' "" That'll be 60 dollars . ""]",[2 1 3 1],[0 0 0 0]
"['What are you listening now , Fred ? ' ' What ? '
 ' Hey ! Man , put your earphone out . I said which song you are listening to . '
 "" Jay Chou's title song in his new album . ""
 "" What's your comment on his new album ? ""
 ' Gorgeous ! There is another song combining Chinese and western music styles . I am crazy for it , so I hear it over and again . And I plan to make it as the ringbone of my mobile . '
 ' Let me enjoy it . '
 ' I suppose this song can be the No . 1 on the top chart . '
 "" I cann't wait for buying his CD now . ""]",[2 2 1 1 2 1 3 4 1],[0 0 0 4 4 4 4 4 4]
"[""Oh dear , Miss , you are soaked ! Wow , it's really raining heavily outside . ""
 "" Yes , it sure is . I had to run here from work ! I need to rush as I'm on my lunch break . ""
 "" Well please , why don't you go ahead of me in line ? I'm in no hurry . ""
 "" Oh , that's so nice of you ! Thank you very much . ""
 "" My pleasure Miss . Actually , could you recommend what to eat here ? I've never been here before . ""
 "" Sure . Well , the avocado sandwich is delicious , and it's the healthiest thing on the menu . Personally , I think the beef salad is the tastiest choice . I usually get that . Also , the milkshakes are the best milkshakes in town ! ""
 ' Well , thanks for the suggestions . ' "" Oh , don't mention it . ""]",[1 1 3 4 3 3 4 1],[0 0 0 4 4 0 4 4]
"['Do you want to go out for dinner tonight ? '
 ' Sure . Have you got anywhere in mind ? '
 "" I'm starving , so maybe we could go somewhere with large portions . ""
 ' That Italian restaurant in the city centre always has large portions . Do you want to go there ? '
 "" I'm not really in the mood for Italian , actually . I was thinking of something a bit spicy . ""
 "" If you want spicy food , then I'd recommend going to a Thai , Indian or Chinese restaurant . How about that Chinese buffet on Cowley Road ? ""
 "" I really like that restaurant ; you get a lot for your money there . But , they've westernized their food , so it's not actually that spicy . ""
 "" You're right . Most of their dishes have sweet sauces . We could try that Indian restaurant just down the road from us . ""
 "" The Taj ? They're a bit expensive , but they do serve large portions of very hot food . ""
 ' The Taj it is then . '
 ' Shall we bring our own bottle of wine to save some money ? '
 "" They'll still charge us a corkage fee . ""
 "" That's right . It'll probably work out to be about the same then anyway . ""
 "" Don't worry about money . I'll treat you tonight . ""
 ' Are you sure ? We could go Dutch . '
 "" No , I'll pay . It's my turn anyway . You paid last time . ""
 "" I won't argue with that ! Let's go ! ""]",[3 2 3 3 4 3 4 3 4 1 3 4 1 3 2 3 4],[4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4]
"['How is the project going ? '
 "" Well , frankly speaking , I am running a little behind . It's 40 % done . ""
 ' Do you have any problem during the process ? You should speed things up . '
 ' I have little chance to communicate with colleagues when I have problems . They are always too busy to help a green hand like me . '
 ' Have you ever helped others when they are in trouble ? Most will give a hand to someone who has helped him . '
 ' I did . But I am so depressed because there is nobody that will help me . '
 ' And you should have good co-operation with other colleagues , you know a scientific schedule brings efficiency to the work . '
 ' I see your point , but I seem to be on bad terms with them . '
 ' Cheer up and pay more attention to your colleagues and the things will be much better . I am speaking from my experience . '
 ' Thank you so much . '
 ' And you should read as much as possible to enrich the knowledge . '
 "" That's a good idea . I can learn many useful things from books . ""
 "" We're approaching the critical point for success or failure of this project . you'd better speed up and catch up with books . ""
 ' Well , I will do it better . '
 ' If you have any problem in your work , let me know . '
 ' Thanks very much . I promise I will work harder . ']",[2 1 3 1 2 1 3 4 3 4 3 4 3 4 3 4],[0 5 0 5 0 5 0 5 0 0 0 0 0 0 0 4]
"['Can I apply for a permit today ? ' ' I need to see your ID . '
 ' I think I forgot it in the car . '
 ' You need to give me your ID and $ 27 . '
 "" I'm going to go and get my ID from the car right now . ""
 ' Go get it . ' ' Here you go . '
 "" All right , I'm going to need you to fill this out . ""
 ' May I borrow your pen ? ' "" Here's a pen for you . ""
 ' Thanks for your help . ' ' You need to turn that in at Window B . ']",[3 3 4 3 4 3 4 3 3 4 4 3],[0 0 0 0 0 0 0 0 0 0 4 0]
"['Wow , American football is more exciting than I thought . '
 ' You ’ re in America now , my British friend . We just call it football . '
 ' Oh , right . So , I can ’ t quite follow what ’ s going on ... who ’ s winning ? '
 ' The Giants are up by three points because of the field goal they kicked , but the Redskins have the ball and there pretty close to the end zone . '
 ' Wow ! What a hit ! '
 ' Yeah , he tackled him so hard his helmet came off . ' ' Is he ok ? '
 ' It looks like it , he ’ s getting up . '
 ' I guess he hit him too hard ; the referee just called a penalty on the home team . '
 ' The Giants ? ' ' Yeah . ' ' Well , here we go again . '
 ' What happened ? Why did everyone get so quiet ? '
 ' The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . ']",[1 1 2 1 1 1 2 1 1 2 1 1 2 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 5]
"[""I'm looking for the produce section , please . ""
 ' All of the produce is in aisle A . ' ' Are bananas on sale today ? '
 ' Here you go . Look in this flyer , or check with the produce person . ']",[3 4 2 3],[0 0 0 0]
"['What qualities do you think a business manager should possess ? '
 "" Creativity , the ability to organize , the entrepreneur's spirit , comprehensive knowledge of human studies , ability of gathering information , expert competence of communication and deep professional skills . ""
 ' If a client complains about the service of your department , what will you do ? '
 "" If I'm in the service center . I'll listen to the client patiently , and accept the criticism objectively . Then I will have the claim reasonably settled . ""]",[2 1 2 1],[0 0 0 0]
"[""I want to open a saving account , sir . What's the proper procedure ? ""
 "" First , you fill out the application form and then we'll issue you a passbook . ""
 ' Is there any minimum for the first deposit ? '
 "" No , Even a dollar is all right . Here's your passbook , sir , just sign your name on it . ""
 ' What is the annual interest rate ? '
 ' It varies from time to time . At present it is 6 % . '
 ' By the way , can I open a checking account too ? '
 ' By all means . But you have to deposit enough money before you can write out your checks . ']",[3 1 2 3 2 1 3 4],[0 0 0 0 0 0 0 0]
"['Hi , do you know what ’ s for dinner ? I ’ m starving . '
 ' We ’ re on our own tonight , dad ’ s taking mom out . '
 ' Out ? What do you mean out ? '
 ' You know on a date , they are going out to dinner . ' ' Dad and mom ? '
 ' Yeah , they said they ’ re reviving the old tradition . '
 ' You mean this is going to be a regular thing ? '
 ' That ’ s right , once a week . Do you want to order some pizza ? ']",[2 1 2 1 2 1 2 2],[0 0 6 0 0 0 0 0]
"['Hey John , nice skates . Are they new ? '
 ' Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . '
 ' What position do you play ? '
 ' I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . '
 ' Yeah , you ’ re a pretty big guy . I play goalie , myself . '
 ' Oh , yeah ? Which team ? ' ' The Rockets . '
 ' Really ? I think we play you guys next week . Well , I have to go to practice . See you later . '
 ' All right , see you later . ']",[2 1 2 1 1 2 1 2 1],[0 0 0 0 4 0 0 6 4]
"['How are your stocks doing , Jim ? '
 ' Oh , all right . I lost a bunch of money in the last two years , but this year has been pretty good . '
 ' Yeah . I lost money investing in the Internet , too . '
 ' Just goes to show that you should buy companies , not ideas . '
 ' I changed my strategy around too . I invest in good companies now . '
 ' Yeah , me too . Did you hear about Frank ? ' ' No , what happened ? '
 "" He lost his kids ' college money day trading . ""
 ' Oh , boy . His wife can ’ t be happy about that . ']",[2 1 1 3 1 2 2 1 1],[0 0 0 0 0 0 0 0 6]
"['What do you want to do tonight ? '
 "" I don't know . What do you want to do ? ""
 "" I have no idea . Do you think we're in a rut ? "" ' What do you mean ? '
 ' Well , we do the same things every weekend . We go to the same restaurants . We see the same friends . You know what I mean ? '
 "" Yeah , I guess you're right . It's easy to get bogged down in the day to day , and forget to change things up once in a while . Let's break out and do something completely different tonight . ""
 "" Okay , I'll look in the events section of the paper to see what's going on tonight . Hmm , we could go to a concert . There is a good one tonight . I bet it's not sold out . But , we'll have to drive an hour to the venue . ""
 "" An hour ? That's a bit of a bummer . Let me take a peek and see what else there is . How about going dancing ? We haven't done that in a while . There's a club in Silver Lake that's supposed to be hopping on Friday nights . Eddie from work told me that they have a really good DJ and a big dance floor , and the cover charge isn't bad . ""
 "" I'm not really in the mood for dancing , actually . You know what ? I just feel like staying home tonight and vegging , after all . How about you ? ""
 "" Yeah , I was hoping you'd say that . It's nice to have the option to go out but I'd rather stay in . Maybe we can go out tomorrow night . ""
 ' Yeah , definitely , tomorrow night . ']",[2 2 2 2 2 1 1 1 2 1 1],[0 0 0 0 0 0 0 0 0 0 0]
['I just got fired . ' ' You asked for it . '],[1 1],[0 0]
"[""I can't believe my eyes , Bill . Are you having a salad for lunch ? No hamburger ? ""
 "" Get used to it , Mary . I'm off hamburgers for good health . Most fast food is loaded with sodium . ""
 ' I know . But why are you suddenly interested in lessening your salt intake ? '
 ' My doctor says I should cut back on sodium-rich foods to lower my blood pressure . '
 ' Do you have hypertension ? I would have thought you were too young . '
 "" Actually , my blood pressure isn't that high yet , but they say it increases with age . ""
 "" Well , I'm glad you're starting to pay more attention to your diet . ""
 ' I want to lower my risk of heart attack and stroke , too . '
 "" So do I . That's why I've been trying to lower my cholesterol level . ""
 "" I've noticed you've been munching away on lots of fruits and vegetables recently . ""
 "" That's right . I could stand to lose a few pounds , too . ""]",[2 1 2 1 2 1 1 1 1 1 1],[0 0 0 0 6 0 4 0 0 0 0]
"['Did you go to the bank to withdraw money ? '
 ' Today is so hot , besides I had so much housework to do . My friend came for a visit and stayed for two hours . I didn ’ t forget , but I had no time at all . '
 ' So you didn ’ t . Is that right ? ' ' Yes . I ’ m sorry . '
 ' Why didn ’ t you just answer my question directly ? Why would Chinese answer questions this way ? I simply asked if you did it or not . It ’ s a very simple question . And Chinese often give the reason before they would give a direct answer . '
 ' Yes , I ’ m sorry . I know it bothers you very much . But I don ’ t know why Chinese sometimes would do this . '
 ' You know , today I asked a student if he brought his dictionary with him . It ’ s a rule I made for the class that everyone brings a bilingual dictionary with them because sometimes they don ’ t understand me . The funniest thing is that this student gave me a lot of reasons and no direct answer . '
 ' But you know if he brought it or not , right ? '
 ' Yeah , after all the explanations like , it ’ s too heavy , I was in a hurry ... whatever . ']",[2 1 2 1 1 1 1 2 1],[0 0 0 0 1 0 0 0 1]
"[""You didn't come to work yesterday.What happened ? ""
 ' I had to look after my son at home . ' "" What's wrong with him ? ""
 ' He has a fever . ' ' Is he getting better now ? '
 ' I think so.Thank you . ']",[2 1 2 1 2 1],[0 0 0 0 0 4]
"['Are you a social person ? '
 ' Yes , I am an outgoing person who likes to be with a lot of friends . '
 ' What is your strategy in communicating with colleagues ? '
 ' Well , the most important thing in communication is your sincerity . ']",[2 1 2 1],[0 0 0 0]
"['How many kinds of secretaries work here ? '
 ' There are 3 secretarial categories here . One is receptionist , one is junior secretary , and the other is senior secretary . '
 ' What sort of duties do you expect ? '
 ' I would like to be able to work independently and take over some ordinary responsibilities such as answering routine correspondences , taking phone calls , and sometimes assisting you with personal business affairs . ']",[2 1 2 1],[0 0 0 0]
"[""You didn't show up to my performance last night ! Some kind of friend you are ! ""
 ' Give me a chance to explain . I was no my way and I had an accident . '
 "" Sure . You look like you're all black and blue . ""
 "" I am fine . In fact , I don't have a scratch on me or my vehicle . But the other guy is in critical condition . ""
 "" You're serious ? ""
 "" Yes , I'm serious . I'm really sorry about missing your concert . ""
 ' I guess I misjudged you . I hope you can forgive me . '
 ' Of course I forgive you . What are friends for ? Now , what am I going to do for that other guy ? ']",[1 1 1 1 2 1 1 2],[1 0 1 0 6 5 0 0]
"['Hi charles , I want you know that i finally found an apartment in haitian . '
 ' You did ? that is great ! '
 ' Yeah , I am having a party this saturday night , a sort of house warming , and i want to invite you . are you busy ? '
 ' No i am free , i will be there , what time the thing starting ? '
 ' Around seven . ' ' Ok , great , should i bring anything ? '
 "" No , but thanks for offering , actually could you bring some fold-up chairs for people if you have any ? I am afraid not everyone's going to have a seat , do you have any ? ""
 ' sure , I will be happy to bring a few , what is the address ? '
 "" Don't worry , I will come to pick you up at about six thirty . ""
 ' Got it . ']",[1 2 3 2 1 2 3 2 1 4],[0 4 4 4 4 4 4 4 4 4]
"['Excuse me , where is the nearest bank ? '
 ' There is one next to the post office , round the corner . '
 ' Thank you . ']",[2 1 1],[0 0 4]
"['May I have your attention please ? '
 ' Would you please be quiet , Ladies and Gentlemen ? '
 "" Well , my speech isn't very long . Would you please ... ""
 ' Quiet everybody ! ']",[3 3 3 1],[0 0 0 1]
"['Hello , Kevin . ' ' Oh , hi , Lee . You look great . '
 ' Thanks . You too . ']",[1 1 1],[4 4 4]
"['Good evening , welcome to Rainbow Restaurant . May I take your coat , please ? '
 ' Yes , thank you so much . ' ' Have you booked already ? '
 "" Yes , my table is for 7 and it's near the window . ""
 ' OK , sir . I will show you your table . ']",[3 4 2 1 1],[0 4 0 0 0]
"['How are your Chinese lessons going ? '
 ' Oh I ’ m learning very slowly . I think Chinese is more difficult than English . '
 ' Well I guess you have fewer characters but I think Chinese grammar is easier . '
 ' Maybe , but I think people usually learn English more quickly than Chinese . '
 ' Yes , I guess basic speaking in the English is easier . '
 ' Maybe that ’ s why your English is much better than my Chinese . ']",[2 1 1 1 1 1],[0 0 0 0 0 0]
"['Well , you seem to enjoy speaking English . '
 "" You can't help learning when you're using it all day . You'll see . A few weeks'study in the school will have a similar effect on you . ""
 "" I hope so . You see , at the moment I find it difficult to get used to the teacher's speed and accent . I'm awfully worried , I can't reply as quickly as she seems to expect . ""
 "" Oh , she likes keeping us on our toes by getting us use English throughout the class . She doesn't mind your making mistakes , though . ""
 ' You know , speaking in class is a very good chance to put your English to practical use . ']",[1 1 1 1 1],[0 0 0 0 0]
"['Hello . Could I speak to Justin , please ? ' ' Speaking . '
 "" Oh , hi Justin . This is Karen Hepburn.We met at Chris and Jim's party . ""
 "" Of course . How're you ? ""
 "" Great . Uh , Justin , would you like to see Otis Lesley on Thursday night ? He's at the Kangaroo Club . ""
 "" I'm sorry , Karen , but I can't . I have to work late this Thursday . ""
 "" Oh ... that's too bad . "" ' Yeah . I really like Lesley . '
 "" Actually , are you doing anything on Friday or Saturday ? He's playing those two nights as well . ""
 "" Well , I can't make it on Friday either , but I'm free on Saturday night . What time does it start ? ""
 ' At eight sharp.How about meeting in front of the club at about a quarter after seven ? '
 "" That sounds perfect.And let's go out for coffee after the show . ""
 ' Sure ! ' ' See you at seven fifteen , Saturday . ']",[3 4 1 2 3 4 1 1 3 2 3 4 1 1],[0 0 0 0 0 0 0 0 4 4 4 4 4 4]
"['Hi Jane , you look great . ' ' You too . Have you lost some weight ? '
 ' Yes , I took off 4 kilos . I am glad you notice it . '
 ' Not some crazy diet fat I hope . '
 ' No no , I just changed my eating habits . I eat a balanced meal . and I eat less than before . '
 ' Good for you , keep it up . ']",[1 2 1 1 1 1],[0 0 4 0 0 4]
"['Hi , dear , do you know what the important day is today ? '
 ' I don ’ t know . ' ' Please think it over . ' ' Oh , I see . '
 ' Come on , dear . I know you mustn ’ t forget it . '
 ' It ’ s Saturday , a great weekend . ' ' Ur , you really let me down . '
 ' Don ’ t be angry with me . I have a bad memory . '
 ' No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband . '
 ' What day is it on earth ? ' ' It ’ s the anniversary of our weeding . ']",[2 1 1 1 1 1 1 3 4 2 1],[0 0 0 0 0 0 1 0 1 0 0]
"[""Jenny , you look terrible . What's eating you ? "" "" Don't brother me ! ""
 "" Hey , Chillon , I'm just trying to help . ""
 "" Sorry , Sally , it's not your fault . "" "" So , what's the problem ? ""
 ' I drew a blank on ~ about the test . '
 "" No kidding ! Didn't you study for it ? ""
 ' Yeah , but nothing was clear during the test . '
 "" That's too bad , anyway , I'm sure things will turn around next master . ""
 "" I'm thinking of dropping out . "" "" You can't do that , Jenny ! ""
 "" I'm dead serious about this , Sally . ""
 "" Come on , let's talk about it . ""]",[2 3 1 1 2 1 2 1 1 1 1 1 3],[0 1 0 4 0 0 6 0 0 0 0 0 0]
"['I passed history test . ' ' Really ? That ’ s marvelous ! '
 ' And then you ’ re old man won ’ t be beaten this time . '
 ' I ’ Ve made up my mind not to be beaten again . ']",[1 1 1 1],[4 6 4 4]
"['Hello . In order to kill your time you can experience our facial massage for free . '
 ' Really ? OK ! '
 ' This way please . First , we should clean your face with our clarifying cream . And then we use the massage cream . Next do the massage . I hope that you can feel comfortable . '
 ' Very comfortable . I think I will come next time . Maybe I will take some friends . Amazing ! '
 ' Thank you . ']",[3 4 3 4 1],[0 4 0 4 0]
"[""Hello ! I'd like to get busy on my computer , but I need some broadband . ""
 "" There's an Ethernet cable in your room . Just plug it into the back of your laptop . ""
 "" Uh-oh ! I can't use Ethernet . My computer is wireless only . ""
 "" That's okay . I can tell you about some alternatives we have . ""
 ' Any alternative that works will be great . '
 "" Well , there's our computer lab on the first floor . ""
 "" That sounds good . What's the charge ? ""
 ' The lab and the computers are no charge , but you have to pay for whatever you print . '
 ' That sounds good . Now , how about the other alternatives ? '
 ' Of course . Our lobby is set up for wireless , so just bring your computer down here . '
 "" Use my laptop in the lobby ? That's great ! Now , if I need to print something there ? ""
 "" They plan to install a printer here . But until then , you'll have to use the lab . ""]",[3 3 4 3 4 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0 0 0]
"['Welcome , Li Mei . Please give me your coat and hat . '
 ' Thank you , Peter . ' "" Oh , let's come in and enjoy yourself . ""
 "" Happy birthday , Peter , and many happy returns of the day . Here's a present for you . ""
 "" Thank you , Li Mei . Come into the dining room . I'm going to cut the cake soon . ""
 ' What wish do you make ? ' "" It's a secret . ""]",[3 4 1 1 1 2 1],[4 4 4 4 4 0 0]
"[""What time's your flight ? "" "" It's at 7:30 a . m . ""]",[2 1],[0 0]
"[""Hey . I'm a visitor from China . I love your music . It's the best I've ever heard . Will you please spare a little bit of time for me ? ""
 ' Sure . Thank you for saying that . Actually , those songs were sung for the first time today . I wrote them in the past two months . '
 "" Oh , you wrote them all by yourself . That's amazing ! Are you a regular singer here ? ""
 ' You can say that . But my band and I also sing regularly in several other places , too . '
 ' Cool . Your guitar skills are very impressive . How did you learn to play like that ? '
 ' I picked up guitar at an early age , maybe around 8 years old . Afterward , I taught myself by listening to some records of top players . '
 "" Wow , that's unbelievable ! You play so well , but you've never been to a real teacher . You will definitely be famous in the near future . ""]",[3 4 2 1 2 1 1],[0 4 6 0 4 0 6]
"['Have you washed any clothes yet ? '
 "" No , I've only washed my whites . ""
 ' When you wash your dark clothes , can you put some of mine in ? '
 ' Sure . Is there any extra care that I should take with your clothes ? '
 ' Just make sure you keep it on the gentle cycle . '
 ' How many clothes of yours do you want me to wash ? '
 "" There isn't a lot , why , do you have a large load to wash ? ""
 "" It's really only a small load . "" ' Do you mind washing my clothes ? '
 "" Not at all . It's no problem . "" ' Thank you so much . '
 "" It's no trouble at all . ""]",[2 1 3 2 1 2 2 1 3 4 1 1],[0 0 0 0 0 0 0 0 0 4 4 4]
"['All right then , Ms . Montgomery . I ’ ll get those plans over to your office by Thursday afternoon . '
 ' Great . That will give me time to talk with my staff before I make final decision . '
 ' That ’ s what I was thinking . I ’ ll have them there by Thursday . '
 ' Good news . Thanks for getting things done so quickly . ']",[3 4 1 1],[0 0 4 4]
"['Would you mind going to dinner with me tonight ? '
 "" I'd love to go out with you , but I'm sorry I'm busy tonight , but I'd like a rain check . ""
 ' OK . ']",[3 4 1],[0 0 0]
"['Did you set your clock forward for daylight savings time ? '
 ' What ? Why do we have to do that ? '
 ' Well , at the start of the spring we usually have more daylight in the mornings and less in the afternoon . This is basically due to our position on the planet and the rotation of the earth . In any case , to take better advantage of the daylight available , we compensate by moving our clocks forward one hour . '
 ' I see . That ’ s convenient ! I never understood things like this , such as GMT . I never know what time zone we are in or when to change my clock ! '
 ' That just stands for Greenwich Mean Time . Here in California , we are in Pacific Standard Time , that is eight time zones west of Greenwich . Remember when we were in Beijing ? Well , then we were in China Standard Time , and that ’ s eight time zones east of Greenwich ! '
 ' That ’ s why it was so weird traveling from Beijing to LA ! Because of the huge time difference , even though we left Beijing at noon and flew for more than eight hours , we still arrived in LA the same day at noon ! It ’ s like we went back in time ! ']",[2 2 1 1 1 1],[0 6 0 1 0 1]
"['I don ’ t understand why you always look so happy , so energetic . It seems like you ’ Ve got good news everyday . '
 ' Really ? Do I look happy all the time ? '
 ' All I know is you look quite differently from other teachers . '
 ' Oh , do you know why ? Actually , it ’ s easy . Because I always exercise . My exercise , I think , is very hard . I often feel very good after conquering these difficulties . I feel alive ! '
 ' Oh , I know . I saw you doing pull-ups one time on the campus 5 and some students trying to imitate you . '
 ' Yeah , they are doing it for fun . Seldom would people like my exercise . It ’ s difficult and boring . '
 ' It ’ s true . Many students do the exercise when they have to . We have P . E . once a week . '
 ' But I think Chinese students need to exercise more . Besides exercise will help them learn new things better . Don ’ t students want to have a good memory ? '
 ' Of course . I didn ’ t know that . I only know exercise makes bodies stronger . I should take some exercise then . Do you have any suggestions ? '
 ' Well , do what you like to do . It can be anything . Jogging , doing aerobics , going bicycling , and playing ping-pong . Absolutely anything . Doing three or more workouts a week is good for you . But remember to do some stretches first . '
 ' Oh , I know . Thank you . ']",[1 2 1 2 1 1 1 2 2 3 4],[6 6 0 0 0 0 0 0 0 0 0]
"['Do you have much experience with kids ? '
 ' Yes . I have three sons . Actually I also have a grandson . '
 ' To tell you the truth , sometimes I regret having a baby so early . I have been making so many sacrifices just because my husband insisted on keeping the baby . '
 ' I understand . I was in your position before . At that time I couldn ’ t depend on anyone taking care of the children for me . My husband seldom stayed at home . '
 ' What about your mother ? Did she help you ? '
 ' Yes , she did a little . But you see , Americans are different from Chinese . You can ’ t depend on your own mother to be a full-time babysitter . She could baby-sit only once or twice a week . That ’ s it . I had to care for them most of the time . '
 ' I see . So if my little family goes to America , I would end up taking care of my child all the time . My husband would have to make the bread for us . I just don ’ t know how I would get some education and be able to get a job some day . '
 ' Don ’ t worry . You can take night classes . I did that when I had kids . And soon your child will be old enough to attend kindergarten . Then you could find a job and work . '
 ' Sounds not so easy to me . When that happens , I will be too old to learn . '
 ' No . You see , I went back to school to get my Master ’ s Degree when I was in my thirties . You won ’ t be older than that . ']",[2 1 1 1 2 1 1 3 4 1],[0 0 0 0 0 0 0 0 0 0]
"['We hope that our cooperation will continue . '
 ' Of course . We both experienced a good cooperation . '
 ' We do think so . ']",[3 4 1],[4 4 0]
"['What a terrible house ! ' "" I'm sick of it , too . ""
 "" The door bell doesn't work , the sink is leaking ""
 "" There's no hot water , and the building is falling apart ! ""
 "" It's no use complaining.If we had got enough money , we wouldn't put up with it ! ""]",[1 1 1 1 1],[1 0 1 1 1]
"[""Watch out ! You'll hit that car if you're not careful . ""
 "" Oh no , I won't . But we will have an accident if you don't stop shouting . ""
 "" You see . I told you you'd hit him if you weren't careful . ""
 "" Oh , shut up , will you ? It was all your fault . If you'd kept quite this would never have happened . ""
 "" Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . ""]",[3 4 1 2 2],[0 0 0 1 1]
"['Yeah , I ’ Ve just moved here , and I ’ d like to activate my cell phone , and I ’ m not sure if I should go with a prepaid plan , or a monthly rate plan . '
 ' I see . Well , can I have a look at your phone ? Unfortunately , this phone can ’ t be used in the US . it ’ s not compatible with our 3G network . '
 ' What ? Really ? I don ’ t really want to have to buy a new phone . '
 ' Well , you ’ re in luck ! You see , if you sign up for our three-year plan , we ’ ll throw in a handset for free . '
 ' Really ? What ’ s the catch ? '
 ' There ’ s no catch ! You just choose a plan , sign a three-year contract and , that ’ s it ! Actually , we ’ re running a special promotion right now , and we ’ regiving away a Blackberry Curve with our special Mega Value forty dollar plan . '
 ' So what does this plan include ? '
 ' Well , you get nine hundred anytime minutes , and you can also enjoy free mobile to mobile calling to other Tel-Mobile clients , one thousand text messages per month , and unlimited evening and weekend minutes . Oh , and we also offer a rollover option . '
 ' Wow , all this for forty dollars per month ? '
 ' That ’ s right , plus the activation fee , the emergency services fee , the monthly service fee , oh , and any charges for extra minutes , and ... ']",[3 3 2 1 2 1 2 1 2 1],[0 4 6 4 6 0 0 0 0 0]
"[""Wow . That girl who brings the fruit is really pretty ! I wish she wouldn't have rushed off so fast ... ""
 "" Hey , it's an English song ! Sing with us , Ryan ! ""
 ' "" Tie a Yellow Ribbon on the Old Oak Tree "" ? ! Where did you learn that song ? '
 ' Everyone in Taiwan knows it . Come on ! Sing with us ! '
 "" I'm sorry , but I can't ! That's something my grandmother would sing ! ""]",[1 3 2 3 4],[4 4 6 4 2]
